project_name,file_name,row_count
"Стратегическое развитие продаж в структуре  ПАО ""Сибур Холдинг""",Стратегическое развитие продаж в структуре  ПАО ＂Сибур Холдинг＂.xlsx,1113
Стратегическое развитие продаж в структуре ПАО Роснефть,Стратегическое развитие продаж в структуре ПАО Роснефть.xlsx,989
"Стратегическое развитие продаж промышленного оборудования на новых территориях Азербайджан, Иран, Туркменистан","Стратегическое развитие продаж промышленного оборудования на новых территориях Азербайджан, Иран, Туркменистан.xlsx",730
Техническое перевооружение ГРС Калуга-2,Техническое перевооружение ГРС Калуга-2.xlsx,2054
Увеличение объемов продаж поверки стороннего оборудования,Увеличение объемов продаж поверки стороннего оборудования.xlsx,1863
Утверждение типа ,Утверждение типа.xlsx,26
Утверждение типа УЗПР с расширенным диапазоном измерений для Газпрос трансгаз Саратов,Утверждение типа УЗПР с расширенным диапазоном измерений для Газпрос трансгаз Саратов.xlsx,1064
Фасад и входная группа,Фасад и входная группа.xlsx,221
восстановленный Поддержка продаж пром оборуд в Узбекистане 2025,восстановленный Поддержка продаж пром оборуд в Узбекистане 2025.xlsx,996
стратегические проекты 2024,стратегические проекты 2024.xlsx,532
